incident_key,occur_date,occur_time,boro,loc_of_occur_desc,precinct,jurisdiction_code,loc_classfctn_desc,statistical_murder_flag,perp_age_group,perp_sex,perp_race,vic_age_group,vic_sex,vic_race
279683077,2023-12-29T00:00:00.000,03:43:00,QUEENS,INSIDE,113,0,COMMERCIAL,FALSE,(null),(null),(null),25-44,M,BLACK
279709792,2023-12-29T00:00:00.000,21:22:00,BROOKLYN,OUTSIDE,75,0,STREET,FALSE,25-44,M,BLACK,25-44,M,BLACK
279758069,2023-12-29T00:00:00.000,18:40:00,BRONX,OUTSIDE,40,0,STREET,FALSE,(null),(null),(null),65+,M,BLACK HISPANIC
279609499,2023-12-27T00:00:00.000,19:47:00,BRONX,OUTSIDE,42,0,STREET,FALSE,(null),(null),(null),<18,M,BLACK HISPANIC
279547332,2023-12-26T00:00:00.000,23:31:00,BRONX,OUTSIDE,46,0,STREET,FALSE,45-64,M,WHITE HISPANIC,45-64,M,WHITE
279547333,2023-12-26T00:00:00.000,23:43:00,QUEENS,OUTSIDE,106,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
279547333,2023-12-26T00:00:00.000,23:43:00,QUEENS,OUTSIDE,106,0,STREET,TRUE,(null),(null),(null),25-44,F,BLACK HISPANIC
279500313,2023-12-26T00:00:00.000,05:09:00,BROOKLYN,OUTSIDE,73,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
279547333,2023-12-26T00:00:00.000,23:43:00,QUEENS,OUTSIDE,106,0,STREET,FALSE,(null),(null),(null),25-44,F,BLACK HISPANIC
279547333,2023-12-26T00:00:00.000,23:43:00,QUEENS,OUTSIDE,106,0,STREET,TRUE,(null),(null),(null),25-44,M,BLACK
279460793,2023-12-24T00:00:00.000,05:24:00,BROOKLYN,OUTSIDE,67,0,COMMERCIAL,FALSE,(null),(null),(null),25-44,M,BLACK
279475600,2023-12-24T00:00:00.000,17:39:00,BROOKLYN,OUTSIDE,69,0,DWELLING,FALSE,(null),(null),(null),25-44,M,BLACK
279472658,2023-12-24T00:00:00.000,17:40:00,MANHATTAN,INSIDE,26,2,HOUSING,TRUE,18-24,M,BLACK,18-24,M,BLACK
279460792,2023-12-24T00:00:00.000,05:55:00,BROOKLYN,OUTSIDE,75,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK HISPANIC
279473159,2023-12-24T00:00:00.000,19:08:00,BRONX,INSIDE,48,0,DWELLING,FALSE,(null),(null),(null),18-24,M,BLACK
279455044,2023-12-23T00:00:00.000,13:25:00,MANHATTAN,OUTSIDE,9,2,HOUSING,FALSE,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC
279427923,2023-12-23T00:00:00.000,00:25:00,MANHATTAN,OUTSIDE,25,0,COMMERCIAL,FALSE,(null),(null),(null),45-64,M,WHITE HISPANIC
279455045,2023-12-23T00:00:00.000,21:24:00,BRONX,OUTSIDE,47,0,(null),FALSE,(null),(null),(null),<18,M,BLACK
279427924,2023-12-23T00:00:00.000,02:10:00,BROOKLYN,OUTSIDE,77,0,STREET,FALSE,25-44,M,BLACK,25-44,M,BLACK
279453573,2023-12-22T00:00:00.000,15:15:00,QUEENS,OUTSIDE,113,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK HISPANIC
279453573,2023-12-22T00:00:00.000,15:15:00,QUEENS,OUTSIDE,113,0,STREET,TRUE,(null),(null),(null),25-44,M,BLACK
279427921,2023-12-22T00:00:00.000,15:30:00,BRONX,INSIDE,42,2,HOUSING,FALSE,(null),(null),(null),18-24,M,BLACK
279386687,2023-12-22T00:00:00.000,01:09:00,BROOKLYN,INSIDE,71,0,DWELLING,FALSE,(null),(null),(null),25-44,M,BLACK
279453572,2023-12-22T00:00:00.000,18:30:00,BROOKLYN,OUTSIDE,70,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
279453573,2023-12-22T00:00:00.000,15:15:00,QUEENS,OUTSIDE,113,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
279427922,2023-12-22T00:00:00.000,17:58:00,MANHATTAN,OUTSIDE,34,0,DWELLING,FALSE,(null),(null),(null),25-44,M,BLACK HISPANIC
279453573,2023-12-22T00:00:00.000,15:15:00,QUEENS,OUTSIDE,113,0,STREET,TRUE,(null),(null),(null),25-44,M,BLACK HISPANIC
279332632,2023-12-21T00:00:00.000,12:49:00,BRONX,OUTSIDE,52,0,STREET,FALSE,(null),(null),(null),18-24,M,WHITE HISPANIC
279332633,2023-12-21T00:00:00.000,19:22:00,MANHATTAN,OUTSIDE,20,2,HOUSING,FALSE,(null),(null),(null),<18,M,BLACK
279262206,2023-12-20T00:00:00.000,03:35:00,BRONX,INSIDE,47,0,COMMERCIAL,TRUE,18-24,M,WHITE HISPANIC,25-44,M,BLACK
279247429,2023-12-19T00:00:00.000,23:59:00,MANHATTAN,OUTSIDE,10,0,HOUSING,FALSE,25-44,M,BLACK,25-44,M,BLACK
279232986,2023-12-19T00:00:00.000,11:49:00,BROOKLYN,OUTSIDE,76,2,HOUSING,FALSE,25-44,M,BLACK,25-44,F,BLACK
279179083,2023-12-18T00:00:00.000,11:30:00,BROOKLYN,OUTSIDE,73,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
279179085,2023-12-18T00:00:00.000,21:00:00,MANHATTAN,INSIDE,33,0,DWELLING,FALSE,18-24,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC
279176472,2023-12-18T00:00:00.000,11:54:00,BRONX,OUTSIDE,47,0,STREET,FALSE,(null),(null),(null),18-24,M,BLACK
279179084,2023-12-18T00:00:00.000,20:35:00,BRONX,OUTSIDE,52,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
279123685,2023-12-17T00:00:00.000,03:28:00,BROOKLYN,OUTSIDE,60,0,STREET,FALSE,(null),(null),(null),25-44,M,BLACK
279121462,2023-12-17T00:00:00.000,06:30:00,BRONX,OUTSIDE,48,0,STREET,FALSE,(null),(null),(null),25-44,M,WHITE HISPANIC
279081320,2023-12-16T00:00:00.000,05:26:00,BROOKLYN,OUTSIDE,77,0,STREET,FALSE,25-44,M,BLACK,25-44,M,BLACK
279121461,2023-12-16T00:00:00.000,22:00:00,BRONX,OUTSIDE,52,0,STREET,FALSE,(null),(null),(null),<18,M,BLACK HISPANIC
279081321,2023-12-16T00:00:00.000,05:09:00,BROOKLYN,OUTSIDE,75,0,COMMERCIAL,FALSE,(null),(null),(null),25-44,M,ASIAN / PACIFIC ISLANDER
279138121,2023-12-16T00:00:00.000,18:26:00,MANHATTAN,OUTSIDE,34,0,STREET,FALSE,(null),(null),(null),18-24,M,BLACK
279071309,2023-12-15T00:00:00.000,14:22:00,BRONX,INSIDE,46,0,COMMERCIAL,FALSE,(null),(null),(null),18-24,M,BLACK HISPANIC
279071309,2023-12-15T00:00:00.000,14:22:00,BRONX,INSIDE,46,0,COMMERCIAL,FALSE,(null),(null),(null),18-24,M,BLACK
